Size,Type,Bubble,Insertion,Selection,Quick,Merge,Heap
8000,Random,209.865,62.152,117.305,1.299,1.525,2.007
8000,Ascending,0.026,0.034,128.910,210.181,0.929,1.602
8000,Descending,242.750,141.801,124.653,170.303,1.000,2.976
12000,Random,495.612,156.892,297.765,2.450,2.910,4.010
12000,Ascending,0.038,0.067,322.006,514.102,1.279,2.868
12000,Descending,516.486,302.401,309.655,436.389,2.278,3.892
16000,Random,1056.865,263.314,501.458,3.449,3.903,4.456
16000,Ascending,0.106,0.068,515.682,918.107,1.724,4.833
16000,Descending,953.580,559.548,495.737,779.230,2.066,5.380
20000,Random,1653.741,422.351,828.979,3.509,4.111,8.237
20000,Ascending,0.064,0.084,862.582,1444.958,2.620,8.587
20000,Descending,1457.374,819.080,734.904,1092.188,2.141,5.021
24000,Random,2477.170,575.439,1190.797,6.717,6.774,9.345
24000,Ascending,0.079,0.106,1147.157,1982.841,2.763,5.817
24000,Descending,2173.182,1171.686,1033.604,1547.637,3.020,6.594
28000,Random,3451.566,796.158,1548.602,6.696,6.929,8.414
28000,Ascending,0.089,0.131,1608.530,2714.774,4.719,10.182
28000,Descending,2715.114,1625.456,1413.543,2117.994,3.171,7.450
32000,Random,4531.687,1078.504,2082.649,6.002,6.782,10.328
32000,Ascending,0.102,0.140,2067.675,3505.824,4.217,7.923
32000,Descending,3675.602,2104.711,1864.061,2789.692,3.594,8.359
36000,Random,5934.042,1360.876,2591.466,8.429,8.766,12.962
36000,Ascending,0.115,0.152,2561.547,4221.126,6.145,12.772
36000,Descending,4628.390,2802.906,2471.931,3540.532,5.453,8.882
